,pos: 0,pos: 1,pos: 2,pos: 3,pos: 4,pos: 5,pos: 6,pos: 7,pos: 8,Best Move
530,0,0,0,0,0,0,0,0,0,4
531,0,0,0,0,1,0,0,0,0,0
532,2,0,0,0,1,0,0,0,0,3
533,2,0,0,1,1,0,0,0,0,5
534,2,0,0,1,1,2,0,0,0,2
535,2,0,1,1,1,2,0,0,0,6
536,2,0,1,1,1,2,2,0,0,7
537,2,0,1,1,1,2,2,1,0,1
538,2,2,1,1,1,2,2,1,0,8
539,0,0,0,0,0,0,0,0,0,6
540,0,0,0,0,0,0,1,0,0,4
541,0,0,0,0,2,0,1,0,0,8
542,0,0,0,0,2,0,1,0,1,3
543,0,0,0,2,2,0,1,0,1,1
544,0,1,0,2,2,0,1,0,1,5
545,0,0,0,0,0,0,0,0,0,4
546,0,0,0,0,1,0,0,0,0,0
547,2,0,0,0,1,0,0,0,0,3
548,2,0,0,1,1,0,0,0,0,5
549,2,0,0,1,1,2,0,0,0,1
550,2,1,0,1,1,2,0,0,0,7
551,2,1,0,1,1,2,0,2,0,2
552,2,1,1,1,1,2,0,2,0,6
553,2,1,1,1,1,2,2,2,0,8
554,0,0,0,0,0,0,0,0,0,4
555,0,0,0,0,1,0,0,0,0,0
556,2,0,0,0,1,0,0,0,0,3
557,2,0,0,1,1,0,0,0,0,5
558,2,0,0,1,1,2,0,0,0,1
559,2,1,0,1,1,2,0,0,0,7
560,2,1,0,1,1,2,0,2,0,2
561,2,1,1,1,1,2,0,2,0,6
562,2,1,1,1,1,2,2,2,0,8
563,0,0,0,0,0,0,0,0,0,4
564,0,0,0,0,1,0,0,0,0,0
565,2,0,0,0,1,0,0,0,0,6
566,2,0,0,0,1,0,1,0,0,2
567,2,0,2,0,1,0,1,0,0,1
568,2,1,2,0,1,0,1,0,0,7
569,2,1,2,0,1,0,1,2,0,3
570,2,1,2,1,1,0,1,2,0,5
571,2,1,2,1,1,2,1,2,0,8
572,0,0,0,0,0,0,0,0,0,2
573,0,0,1,0,0,0,0,0,0,4
574,0,0,1,0,2,0,0,0,0,0
575,1,0,1,0,2,0,0,0,0,1
576,1,2,1,0,2,0,0,0,0,3
577,1,2,1,1,2,0,0,0,0,6
578,1,2,1,1,2,0,2,0,0,7
579,1,2,1,1,2,0,2,1,0,5
580,1,2,1,1,2,2,2,1,0,8
581,0,0,0,0,0,0,0,0,0,4
582,0,0,0,0,1,0,0,0,0,0
583,2,0,0,0,1,0,0,0,0,3
584,2,0,0,1,1,0,0,0,0,5
585,2,0,0,1,1,2,0,0,0,1
586,2,1,0,1,1,2,0,0,0,7
587,2,1,0,1,1,2,0,2,0,2
588,2,1,1,1,1,2,0,2,0,6
589,2,1,1,1,1,2,2,2,0,8
590,0,0,0,0,0,0,0,0,0,4
591,0,0,0,0,1,0,0,0,0,0
592,2,0,0,0,1,0,0,0,0,2
593,2,0,1,0,1,0,0,0,0,6
594,2,0,1,0,1,0,2,0,0,3
595,2,0,1,1,1,0,2,0,0,5
596,2,0,1,1,1,2,2,0,0,1
597,2,1,1,1,1,2,2,0,0,7
598,2,1,1,1,1,2,2,2,0,8
599,0,0,0,0,0,0,0,0,0,6
600,0,0,0,0,0,0,1,0,0,0
601,2,0,0,0,0,0,1,0,0,1
602,2,1,0,0,0,0,1,0,0,4
603,2,1,0,0,2,0,1,0,0,8
604,2,1,0,0,2,0,1,0,1,5
605,2,1,0,0,2,2,1,0,1,3
606,2,1,0,1,2,2,1,0,1,7
607,2,1,0,1,2,2,1,2,1,2
608,0,0,0,0,0,0,0,0,0,1
609,0,1,0,0,0,0,0,0,0,4
610,0,1,0,0,2,0,0,0,0,3
611,0,1,0,1,2,0,0,0,0,0
612,2,1,0,1,2,0,0,0,0,8
613,2,1,0,1,2,0,0,0,1,2
614,2,1,2,1,2,0,0,0,1,6
615,2,1,2,1,2,0,1,0,1,7
616,2,1,2,1,2,0,1,2,1,5
617,0,0,0,0,0,0,0,0,0,3
618,0,0,0,1,0,0,0,0,0,0
619,2,0,0,1,0,0,0,0,0,4
620,2,0,0,1,1,0,0,0,0,5
621,2,0,0,1,1,2,0,0,0,1
